,article_source,article_post_date_type,article_title,article_url,article_claim
0,Phil McGraw,"stated on April 16, 2020 in a Fox News appearance:","There are “360,000 (deaths) a year from swimming pools. But we don’t shut the country down for that.”",/factchecks/2020/apr/17/phil-mcgraw/dr-phils-faulty-point-about-coronavirus-and-swimmi/,false
1,Gretchen Whitmer,"stated on April 15, 2020 in an April 15, 2020 press conference:","“During the flu pandemic of 1918, some cities lifted social distancing measures too fast, too soon, and created a second wave of pandemic.”",/factchecks/2020/apr/17/gretchen-whitmer/what-1918-flu-pandemic-shows-us-about-social-dista/,mostly-true
2,Tweets,"stated on April 10, 2020 in a Twitter post:","“Per order from @GovWhitmer, people in Michigan are now banned from purchasing a new baby car seat in stores.”",/factchecks/2020/apr/17/tweets/michigan-residents-can-still-buy-car-seats/,false
3,Ron DeSantis,"stated on April 14, 2020 in an April 14, 2020 press briefing:","“Obesity is, like, the No. 1 factor in whether you really get hit hard by COVID-19.”",/factchecks/2020/apr/17/ron-desantis/obesity-top-risk-factor-covid-19-hospitalizations/,half-true
4,Donald Trump,"stated on April 16, 2020 in a tweet:",Says House Speaker Nancy Pelosi deleted a video of her telling people to go to Chinatown.,/factchecks/2020/apr/16/donald-trump/donald-trump-falsely-claims-nancy-pelosi-deleted-v/,false
5,Facebook posts,"stated on April 16, 2020 in a post on Facebook:",“Africans living in China now being forced to sleep outside in the cold” as “Chinese nationals blame them for the rising number of new coronavirus cases in the country.”,/factchecks/2020/apr/16/facebook-posts/yes-africans-are-being-evicted-china-amid-fear-sec/,true
6,Barack Obama,"stated on April 14, 2020 in his online video endorsement of Joe Biden for president:","Republicans “have shown themselves willing to cut millions off their health insurance and eliminate preexisting condition protections for millions more, even in the middle of this public health crisis.""",/factchecks/2020/apr/16/barack-obama/obama-gops-stance-preexisting-conditions-base-espe/,true
7,Facebook posts,"stated on March 31, 2020 in posts on the Internet:","If you ask Amazon’s Alexa about the origin of the coronavirus pandemic, it says “the government planned” it.",/factchecks/2020/apr/16/facebook-posts/no-amazons-alexa-doesnt-say-government-planned-cor/,false
8,Facebook posts,"stated on April 9, 2020 in a Facebook post:","Says all Vegas hotels but Trump’s have donated food, rooms in COVID response.",/factchecks/2020/apr/16/facebook-posts/trumps-vegas-hotel-hasnt-made-donations-it-isnt-on/,barely-true
9,Pat Toomey,"stated on April 15, 2020 in a Politico interview:","“In a matter of days, and in some cases the moment may even have passed, that we’ve reached the peak of the rate of infections.”",/factchecks/2020/apr/16/pat-toomey/us-sen-pat-toomey-says-coronavirus-outbreak-has-re/,half-true
10,Facebook posts,"stated on April 12, 2020 in an image:",Says Dr. Anthony Fauci “stands to lose 100 million dollars on Bill Gates ‘vaccine’ for the coronavirus. Because he invested in this vaccine.”,/factchecks/2020/apr/15/facebook-posts/facebook-posts-falsely-claim-dr-fauci-has-millions/,false
11,Kellyanne Conway,"stated on April 15, 2020 in an interview on ""Fox & Friends"":","""This is COVID-19, not COVID-1, folks. And so you would think the people charged with the World Health Organization facts and figures would be on top of that.""",/factchecks/2020/apr/15/kellyanne-conway/kellyanne-conway-misleads-name-covid-19-says-its-n/,false
12,YouTube videos,"stated on April 12, 2020 in social media posts:","The $1,200 coronavirus relief checks this year are “just an advance on your next tax return. … Next year, you're automatically going to owe $1,200 come tax season.”",/factchecks/2020/apr/15/youtube-videos/no-you-dont-have-pay-back-your-stimulus-check/,false
13,Facebook posts,"stated on April 12, 2020 in a Facebook post:",Says Michigan COVID-19 order bans gardening and the sale of vegetable seeds and fruit.,/factchecks/2020/apr/15/facebook-posts/covid-order-doesnt-ban-gardening-or-sale-seeds-and/,false
14,Viral image,"stated on April 5, 2020 in a Facebook post:",Says 44 senators “voted NOT to send stimulus checks.”,/factchecks/2020/apr/15/viral-image/senate-voted-unanimously-favor-stimulus-bill/,false
15,Viral image,"stated on March 26, 2020 in a Facebook post:",A photo shows two Italian nurses in a hospital a few days before they got COVID-19 and died.,/factchecks/2020/apr/15/viral-image/no-isnt-photo-italian-nurses-kissing-hospital/,false
16,Lori Lightfoot,"stated on April 7, 2020 in remarks at a news conference:","“Illinois lags way behind all of our neighbors and certainly we’re in the bottom tier of states that are doing testing.""",/factchecks/2020/apr/15/lori-lightfoot/has-illinois-fallen-behind-other-states-testing-co/,half-true
17,AFL-CIO,"stated on April 13, 2020 in a Facebook post:","""The Postal Service is not losing money because of Amazon. It’s losing money because in 2006, the Republican-led Congress passed a law forcing it to prepay its pensions for 75 years, which no other corporation does ... Without this law, the Postal Service would be turning a profit.”",/factchecks/2020/apr/15/afl-cio/widespread-facebook-post-blames-2006-law-us-postal/,half-true
18,Facebook posts,"stated on April 10, 2020 in Facebook posts:",Images show COVID-19 victims being buried in mass graves in New York City.,/factchecks/2020/apr/15/facebook-posts/fact-checking-posts-about-mass-graves-nyc/,mostly-true
19,Viral image,"stated on April 13, 2020 in a Facebook post:","“Corona is so bad, this guy died twice!”",/factchecks/2020/apr/15/viral-image/these-headlines-dont-prove-fake-news-about-covid-1/,false
20,Bobby Scott,"stated on April 2, 2020 in a radio interview.:","”If you line up all the countries that have done (Covid-19) testing on a per-capita basis, we’re at the bottom of the list.”",/factchecks/2020/apr/15/bobby-scott/did-us-april-rank-last-capita-covid-19-testing/,false
21,Viral image,"stated on April 10, 2020 in a Facebook post:",Says a video shows a “gay party in Italy few weeks before COVID-19.”,/factchecks/2020/apr/14/viral-image/isnt-video-gay-party-italy-just-pandemic/,false
